Calendar Year,Property Name,Primary Property Type - Self Selected,Site Energy Use (kBtu),Data Center - IT Source Energy (kBtu),Electricity Use - Grid Purchase (kBtu),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Data Center - Gross Floor Area (ft²),Largest Property Use Type - Gross Floor Area (ft²),Site EUI (kBtu/ft²)
2024,2246 Ocean Avenue,Multifamily Housing,4460716.6,Not Available,606174.8,274.5,Not Available,69000,64.6
2024,1560 Ocean Parkway,Multifamily Housing,4448972.6,Not Available,631321.8,275.43,Not Available,60350,73.7
2024,1833-1845 Ocean Avenue,Multifamily Housing,4931283.2,Not Available,798281.2,311.39,Not Available,75712,65.1
2024,1900 Quentin Road/1701 East 19th Street,Multifamily Housing,10506877.4,Not Available,1196410.6,632.21,Not Available,140000,75
2024,280 Ocean Parkway,Multifamily Housing,7871203.9,Not Available,1299110.1,498.58,Not Available,154233,51
2024,2951 Ocean Avenue,Multifamily Housing,5905716.5,Not Available,769393.3,361.36,Not Available,86000,68.7
2024,330 Ocean Pkwy/515 Avenue C,Multifamily Housing,4054223,Not Available,597940.1,252.39,Not Available,51426,78.8
2024,3845-3855 Shore Parkway,Multifamily Housing,13342374.7,Not Available,2278514.8,849.88,Not Available,153192,87.1
2024,3080 VOORHIES AVENUE,Multifamily Housing,15327452.5,Not Available,2105290.7,944.58,Not Available,157500,97.3
2024,340 OCEAN PARKWAY,Multifamily Housing,5138029.1,Not Available,1031546.2,336.83,Not Available,73026,70.4
2024,763 OCEAN PARKWAY,Multifamily Housing,6428317.1,Not Available,1365752,426.08,Not Available,138600,46.4
2024,800 Cortelyou Road,Multifamily Housing,6000950,Not Available,1388126.2,404.76,Not Available,94038,63.8
2024,800 Ocean Parkway,Multifamily Housing,6990383.2,Not Available,1395091,457.75,Not Available,121310,57.6
2024,8023 19th Avenue,Multifamily Housing,5043548.6,Not Available,725373.3,312.84,Not Available,57000,88.5
2024,706 Riverside Drive,Multifamily Housing,5672763.3,Not Available,792799.2,350.44,Not Available,86020,65.9
2024,820 Ocean Parkway,Multifamily Housing,9958778.4,Not Available,1638212.7,630.48,Not Available,168070,59.3
2024,855 East 7th Street,Multifamily Housing,7787489.9,Not Available,1382016.9,499.28,Not Available,123271,63.2
2024,330 West 95th Street,Hotel,7742701.6,Not Available,1788487.3,522.09,Not Available,63360,122.2
2024,JJS: 201 West Kingsbridge Road,Multifamily Housing,5595269,Not Available,1541681.9,392.73,Not Available,72538,77.1
2024,6175 - MANHATTAN WEST 23RD ST,Retail Store,4261400.1,Not Available,4261400.1,490.43,Not Available,106322,40.1
2024,ARIS: 35-30 81st Street,Multifamily Housing,5826999.3,Not Available,943411.3,400.26,Not Available,97825,59.6
2024,ARIS: 34-57 82nd Street,Multifamily Housing,4026057.6,Not Available,614343.4,258.18,Not Available,55762,72.2
2024,ARIS: 82-15 35th Ave,Multifamily Housing,4153367.2,Not Available,621923.6,263.62,Not Available,56354,73.7
2024,Highbridge 1150 Tiffany,Multifamily Housing,5486536.8,Not Available,1451017.5,381.34,Not Available,62890,87.2
2024,Island Condo Management Corp / Elm l - 2 Windham Loop,Multifamily Housing,4672119.8,Not Available,4672119.8,537.7,Not Available,135436,31.8
2024,1948 Troutman St. LLC,Distribution Center,Not Available,Not Available,Not Available,Not Available,Not Available,51000,Not Available
2024,1775 Grand Concourse,Mixed Use Property,42553464.9,Not Available,24034486.1,4140.23,Not Available,126783,143.8
2024,Roscoe C. Brown Apartments,Multifamily Housing,18042050.8,Not Available,5480265,1297.92,Not Available,285937,61.8
2024,222 East 34th Street,Multifamily Housing,37068195.4,Not Available,15652055.4,2938.86,Not Available,451947,73.6
2024,195 Chrystie Street,Office,4675741.2,Not Available,1119824.9,395.01,Not Available,85570,54.6
2024,1104-1112 Carroll Place,Multifamily Housing,6821545.6,Not Available,988744.3,423.6,Not Available,70220,97.1
2024,Chestnut - 3451 Giles Place,Multifamily Housing,993965.7,Not Available,745875.7,99.02,Not Available,71000,14
2024,Chestnut - 1230 Sheridan Avenue,Multifamily Housing,1023493.2,Not Available,732965.2,99.79,Not Available,57022,17.9
2024,Chestnut - 1264 Sheridan Avenue,Multifamily Housing,8325048.8,Not Available,968716.4,502.22,Not Available,59590,139.7
2024,Chestnut - 2475 East 11th Street,Multifamily Housing,5035650.9,Not Available,766461,314.97,Not Available,87563,57.5
2024,Chestnut - 3470 Cannon Place,Multifamily Housing,11179398.8,Not Available,654867.8,634.37,Not Available,65000,172
2024,Chestnut - 3605 Sedgwick Avenue,Multifamily Housing,6014605.3,Not Available,1850844.3,434.17,Not Available,153954,39.1
2024,Chestnut - 1310 Sheridan Avenue,Multifamily Housing,4933287.2,Not Available,1110568.2,330.85,Not Available,85696,57.6
2024,Chestnut - 200 Marcy Place,Multifamily Housing,4717296.3,Not Available,833281.7,302.2,Not Available,54723,86.2
2024,Chestnut - 2676 Grand Concourse,Multifamily Housing,5509322.2,Not Available,1139514.1,363.24,Not Available,74709,73.7
2024,Majestic:  111 Third Ave,Multifamily Housing,4713611.3,Not Available,2006498.3,374.71,Not Available,117591,35.8
2024,IVY:  1650 Ocean Parkway,Multifamily Housing,7435835.1,Not Available,699983.3,438.33,Not Available,77040,96.5
2024,Orsid - 5-43 48th Ave,Multifamily Housing,1486548.8,Not Available,1486548.8,171.08,Not Available,55609,26
2024,Orsid - 200 East End Ave,Multifamily Housing,14031416.3,Not Available,4322207.3,1013.13,Not Available,261379,53.7
2024,Orsid - 215 West 90th St,Multifamily Housing,14514304.8,Not Available,4383052.7,1042.55,Not Available,207496,68.1
2024,Orsid - 150 Burns St,Multifamily Housing,3250345.4,Not Available,404365.9,255.73,Not Available,55400,58.7
2024,Orsid - 240 West 98th St (parent),Multifamily Housing,22433116.5,Not Available,7974770.8,1685.74,Not Available,292670,69.6
2024,Orsid - 110-07 73rd Rd,Multifamily Housing,5424215.4,Not Available,832313.8,339.69,Not Available,101087,53.7
2024,Via Verde,Multifamily Housing,16867697,Not Available,5479572.9,1235.5,Not Available,267746,61.7
2024,60 Beach St Condominium,Multifamily Housing,3513653.1,Not Available,2026799.1,312.23,Not Available,103985,33.8
2024,Q633 (OECID: 0401743; BBL: 4123930001),K-12 School,5107469.1,Not Available,2432469.4,422.03,Not Available,61887,82.5
2024,2 Hinckley Pl,Multifamily Housing,6389554,Not Available,733119.7,384.81,Not Available,72810,87.8
2024,655 6th Avenue,Multifamily Housing,8852635.4,Not Available,4924717.2,827.18,Not Available,96605,73
2024,115 Lenox Rd,Multifamily Housing,4690500.7,Not Available,618298.5,287.45,Not Available,66530,70.5
2024,184 Clarkson Ave,Multifamily Housing,4775622.1,Not Available,868928.2,307.5,Not Available,70200,68
2024,270 Empire Blvd,Multifamily Housing,5738240.1,Not Available,823445,355.82,Not Available,70056,81.9
2024,290 Empire Blvd,Multifamily Housing,6502025.9,Not Available,813137.6,395.74,Not Available,70662,92
2024,414 Elmwood Ave,Multifamily Housing,4286597.3,Not Available,782710.4,276.19,Not Available,72240,59.3
2024,470 Ocean Pkwy,Multifamily Housing,5680546.4,Not Available,695476.4,344.82,Not Available,72600,78.2
2024,485 Ocean Ave,Multifamily Housing,7539369.8,Not Available,1231305.8,476.76,Not Available,115009,65.6
2024,600 East 18 St,Multifamily Housing,3648843.7,Not Available,710411.6,237.83,Not Available,62142,58.7
2024,789 St. Marks Realty Corp,Multifamily Housing,9521946.4,Not Available,1496182.9,598.48,Not Available,166718,57.1
2024,591 Ocean Ave,Multifamily Housing,5220864.9,Not Available,740927.6,323.22,Not Available,66783,78.2
2024,North 751 Realty Corp 2,Multifamily Housing,11850792.1,Not Available,1500165.4,722.42,Not Available,155586,76.2
2024,985 Ocean Ave LLC,Multifamily Housing,1932804.9,Not Available,355177.9,124.67,Not Available,25410,76.1
2024,1012 Ocean Ave,Multifamily Housing,3731029.2,Not Available,657905.2,238.94,Not Available,49491,75.4
2024,1601 Ocean Pkwy,Multifamily Housing,4870788.4,Not Available,877125.4,313.07,Not Available,61200,79.6
2024,2157 Realty Associates,Multifamily Housing,4573384.7,Not Available,693627.1,285.9,Not Available,66875,68.4
2024,1002 Ditmas Ave,Multifamily Housing,6487063.9,Not Available,1375265.8,429.79,Not Available,72764,89.2
2024,1417 Ave K,Multifamily Housing,6865741.3,Not Available,1005769.3,427,Not Available,96000,71.5
