year,month,avg_total
2006,3,305.50625
2006,4,308.4
2006,5,305.5357142857143
2006,6,299.56666666666666
2006,7,294.05357142857144
2006,8,291.696551724138
2006,9,282.81935483870967
2006,10,279.7935483870968
2006,11,281.13
2006,12,283.9448275862069
2007,1,286.8
2007,2,297.2935483870968
2007,3,303.45
2007,4,305.9133333333333
2007,5,305.86428571428576
2007,6,300.5111111111111
2007,7,297.5892857142857
2007,8,296.79655172413794
2007,9,290.67096774193544
2007,10,289.5290322580645
2007,11,288.07666666666665
2007,12,287.73793103448276
2008,1,287.80689655172415
2008,2,295.7548387096774
2008,3,302.45
2008,4,305.24666666666667
2008,5,302.3178571428571
2008,6,297.13703703703703
2008,7,292.59999999999997
2008,8,290.63793103448273
2008,9,283.23225806451615
2008,10,281.3322580645161
2008,11,281.07586206896553
2008,12,283.40000000000003
2009,1,285.548275862069
2009,2,298.5806451612903
2009,3,305.2125
2009,4,307.92
2009,5,305.8892857142857
2009,6,300.27407407407406
2009,7,296.6464285714286
2009,8,294.9310344827586
2009,9,288.6258064516129
2009,10,288.0516129032258
2009,11,288.73333333333335
2009,12,291.69310344827585
2010,1,291.0620689655172
2010,2,301.29999999999995
2010,3,311.49375
2010,4,313.4
2010,5,311.15714285714284
2010,6,304.937037037037
2010,7,300.2214285714286
2010,8,298.5103448275862
2010,9,292.66129032258067
2010,10,288.8322580645161
2010,11,288.1566666666667
2010,12,288.14482758620693
2011,1,290.26206896551724
2011,2,297.9193548387097
2011,3,299.15
2011,4,305.77333333333337
2011,5,303.75714285714287
2011,6,298.71785714285716
2011,7,294.9392857142857
2011,8,293.68275862068964
2011,9,286.43548387096774
2011,10,282.9548387096774
2011,11,286.18
2011,12,285.9413793103448
2012,1,287.9379310344828
2012,2,298.66129032258067
2012,3,306.08125
2012,4,309.12333333333333
2012,5,305.35172413793106
2012,6,299.2357142857143
2012,7,295.7642857142857
2012,8,294.25
2012,9,290.4612903225806
2012,10,291.05806451612904
2012,11,293.7866666666667
2012,12,290.0620689655172
2013,1,291.24
2013,2,298.0516129032258
2013,3,306.975
2013,4,310.51
2013,5,309.0310344827586
2013,6,302.7214285714286
2013,7,297.79285714285714
2013,8,294.2933333333333
2013,9,290.1290322580645
2013,10,288.30967741935484
2013,11,289.9633333333333
2013,12,288.8724137931034
2014,1,290.21724137931034
2014,2,298.8677419354839
2014,3,305.378125
2014,4,310.5866666666667
2014,5,308.0357142857143
2014,6,301.87142857142857
2014,7,298.5
2014,8,297.40000000000003
2014,9,292.56129032258065
2014,10,290.42903225806447
2014,11,291.9433333333333
2014,12,291.21724137931034
2015,1,295.49
2015,2,302.2483870967742
2015,3,308.259375
2015,4,314.19666666666666
2015,5,310.2551724137931
2015,6,303.41785714285714
2015,7,297.53214285714284
2015,8,294.5241379310345
2015,9,285.7032258064516
2015,10,278.56129032258065
2015,11,281.81
2015,12,283.5551724137931
2016,1,288.79
2016,2,293.1967741935484
2016,3,301.8625
2016,4,305.44666666666666
2016,5,303.8758620689655
2016,6,298.625
2016,7,294.39285714285717
2016,8,292.14666666666665
2016,9,288.03225806451616
2016,10,284.81290322580645
2016,11,287.0433333333333
2016,12,287.35517241379307
2017,1,289.90333333333336
2017,2,296.67096774193544
2017,3,303.521875
2017,4,307.3433333333333
2017,5,304.0965517241379
2017,6,299.1392857142857
2017,7,296.0571428571429
2017,8,294.87
2017,9,293.00967741935483
2017,10,291.85806451612905
2017,11,293.5066666666667
2017,12,290.3965517241379
2018,1,291.2344827586207
2018,2,300.06129032258065
2018,3,309.425
2018,4,312.36333333333334
2018,5,309.5344827586207
2018,6,303.0678571428571
2018,7,297.80357142857144
2018,8,294.64666666666665
2018,9,288.7129032258065
2018,10,284.43225806451613
2018,11,287.32666666666665
2018,12,286.57931034482755
2019,1,283.9068965517241
2019,2,296.3806451612903
2019,3,304.91875
2019,4,309.3433333333333
2019,5,306.7862068965517
2019,6,301.49285714285713
2019,7,298.0142857142857
2019,8,295.81333333333333
2019,9,295.6161290322581
2019,10,294.84838709677416
2019,11,295.71
2019,12,292.51724137931035
2020,1,293.77241379310345
2020,2,298.47419354838706
2020,3,298.071875
2020,4,298.50333333333333
2020,5,298.81724137931036
2020,6,293.63214285714287
2020,7,290.46785714285716
2020,8,288.84000000000003
2020,9,283.4612903225806
2020,10,278.43225806451613
2020,11,277.88
2020,12,280.63103448275865
2021,1,283.3689655172414
2021,2,297.0967741935484
2021,3,303.340625
2021,4,305.82
2021,5,304.46206896551723
2021,6,298.425
2021,7,295.26071428571424
2021,8,292.55
2021,9,286.6645161290323
2021,10,281.4258064516129
2021,11,284.32666666666665
2021,12,284.9103448275862
2022,1,289.73333333333335
2022,2,293.83870967741933
2022,3,300.06875
2022,4,305.85999999999996
2022,5,302.86206896551727
2022,6,297.9714285714286
2022,7,293.46785714285716
2022,9,283.9483870967742
2022,10,278.31935483870967
2022,11,280.8933333333333
2022,12,283.651724137931
2023,1,286.03793103448277
2023,2,296.1161290322581
2023,3,305.65625
2023,4,307.65
2023,5,304.0931034482759
2023,6,300.5357142857143
2023,7,297.7142857142857
2023,8,294.3433333333333
2023,9,288.583870967742
2023,10,287.5483870967742
2023,11,288.56333333333333
2023,12,288.5655172413793
